id,timestamp,test_field,_rid,_self,_etag,_attachments,_ts,route_origin,route_destination,traffic_route,traffic_duration,weather_temperature,weather_conditions,weather_rain,weather_snow,new_field_1,new_field_2,new_field_3,array_field,nested_field.sub_field_1,nested_field.sub_field_2,nested_field.sub_field_3,traffic_data.route,traffic_data.duration_in_traffic,weather_data.temperature,weather_data.weather_conditions,weather_data.rain,weather_data.snow,air_quality_data.air_quality_index,air_quality_data.components.co,air_quality_data.components.no,air_quality_data.components.no2,air_quality_data.components.o3,air_quality_data.components.so2,air_quality_data.components.pm2_5,air_quality_data.components.pm10,air_quality_data.components.nh3,route_name
data-2024-12-01T14:13:47.491859-Route 1,2024-12-01T14:13:47.491869,,hCl+AN3ccB9tAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB9tAAAAAAAAAA==/,"""a80448b4-0000-1100-0000-674c6f1b0000""",attachments/,1733062427,,,,,,,,,,,,,,,,A40,1515,285.86,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 1
data-2024-12-01T14:13:48.306951-Route 2,2024-12-01T14:13:48.306959,,hCl+AN3ccB9uAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB9uAAAAAAAAAA==/,"""a8046cb4-0000-1100-0000-674c6f1c0000""",attachments/,1733062428,,,,,,,,,,,,,,,,Western Ave/A40,2345,285.87,Clouds,0,0,1,247,0.71,15.77,31.83,3.93,2.23,2.55,0.13,Route 2
data-2024-12-01T14:13:48.765226-Route 3,2024-12-01T14:13:48.765234,,hCl+AN3ccB9vAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB9vAAAAAAAAAA==/,"""a8048fb4-0000-1100-0000-674c6f1c0000""",attachments/,1733062428,,,,,,,,,,,,,,,,A102,1910,285.77,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 3
data-2024-12-01T14:14:50.267261-Route 1,2024-12-01T14:14:50.267270,,hCl+AN3ccB9wAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB9wAAAAAAAAAA==/,"""a804d4c3-0000-1100-0000-674c6f5a0000""",attachments/,1733062490,,,,,,,,,,,,,,,,A40,1550,285.86,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 1
data-2024-12-01T14:14:51.161240-Route 2,2024-12-01T14:14:51.161248,,hCl+AN3ccB9xAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB9xAAAAAAAAAA==/,"""a80429c4-0000-1100-0000-674c6f5b0000""",attachments/,1733062491,,,,,,,,,,,,,,,,Western Ave/A40,2378,285.87,Clouds,0,0,1,247,0.71,15.77,31.83,3.93,2.23,2.55,0.13,Route 2
data-2024-12-01T14:14:51.565547-Route 3,2024-12-01T14:14:51.565555,,hCl+AN3ccB9yAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB9yAAAAAAAAAA==/,"""a80450c4-0000-1100-0000-674c6f5b0000""",attachments/,1733062491,,,,,,,,,,,,,,,,A102,1886,285.77,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 3
data-2024-12-01T14:15:53.148083-Route 1,2024-12-01T14:15:53.148091,,hCl+AN3ccB9zAAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB9zAAAAAAAAAA==/,"""a804d8d0-0000-1100-0000-674c6f990000""",attachments/,1733062553,,,,,,,,,,,,,,,,A40,1515,285.99,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 1
data-2024-12-01T14:15:53.950020-Route 2,2024-12-01T14:15:53.950028,,hCl+AN3ccB90AAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB90AAAAAAAAAA==/,"""a804f0d0-0000-1100-0000-674c6f990000""",attachments/,1733062553,,,,,,,,,,,,,,,,Western Ave/A40,2326,285.87,Clouds,0,0,1,247,0.71,15.77,31.83,3.93,2.23,2.55,0.13,Route 2
data-2024-12-01T14:15:54.411264-Route 3,2024-12-01T14:15:54.411271,,hCl+AN3ccB91AAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB91AAAAAAAAAA==/,"""a80401d1-0000-1100-0000-674c6f9a0000""",attachments/,1733062554,,,,,,,,,,,,,,,,A102,1719,285.77,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 3
data-2024-12-01T14:16:55.891010-Route 1,2024-12-01T14:16:55.891018,,hCl+AN3ccB92AAAAAAAAAA==,dbs/hCl+AA==/colls/hCl+AN3ccB8=/docs/hCl+AN3ccB92AAAAAAAAAA==/,"""a804f1de-0000-1100-0000-674c6fd70000""",attachments/,1733062615,,,,,,,,,,,,,,,,A40,1511,285.99,Clouds,0,0,1,253.68,0.41,17.82,31.83,6.44,2.68,3.06,0.2,Route 1
